Date,Close,High,Low,Open,Volume
2008-11-24,395.24554443359375,409.8842683015046,369.6277776647497,384.2665015326606,329077500
2008-12-01,409.8841552734375,417.2035151890346,369.6276757376534,395.24543544224326,299590000
2008-12-08,406.2244873046875,446.48096802857543,406.2244873046875,409.88416737049545,381565000
2008-12-15,468.4391784667969,475.7585406303406,413.5439622402191,413.5439622402191,367297500
2008-12-22,468.4391784667969,475.7585406303406,457.4601352214813,468.4391784667969,104220000
2008-12-29,475.7584228515625,486.7374633789063,468.43906250000003,468.43906250000003,34487500
2009-01-05,439.1616516113281,541.6327036539714,435.50197118123367,512.3552602132161,341537500
2009-01-12,435.5021057128906,446.48115039472816,398.90529010676534,428.18274259166554,460715000
2009-01-19,411.4134826660156,448.4777603836747,400.2941993507179,433.6520492966111,427312500
2009-01-26,407.7071838378906,422.5328996138139,400.294325949929,411.41361278187145,160757500
2009-02-02,411.4134826660156,422.53276598131333,400.2941993507179,407.7070548942497,214547500
2009-02-09,392.8813171386719,415.1198822597288,366.9363244974388,407.70702721937647,299327500
2009-02-16,363.22991943359375,396.5877691774952,363.22991943359375,396.5877691774952,346515000
2009-02-23,348.404296875,374.349297706117,340.99143949468083,370.64286901595744,527937500
2009-03-02,381.76214599609375,392.8814318018052,337.28500277324787,340.9914313751517,467725000
2009-03-09,418.82647705078125,422.53290605123067,381.76218704628735,381.76218704628735,403302500
2009-03-16,437.3584899902344,441.06491787150753,407.707066940049,418.82635058386853,402087500
2009-03-23,470.7164001464844,481.83568518931475,437.3585450179934,452.18425840843383,312850000
2009-03-30,470.7164001464844,496.6613985797552,444.7714017132136,455.890686756044,478787500
2009-04-06,452.1842956542969,489.24858218333765,448.47786700139284,478.1292962246254,242442500
2009-04-13,530.0193481445312,537.4322061605386,463.30362600046436,478.1293420324792,655770000
2009-04-20,504.0743408203125,530.0193436566522,492.9550538904527,522.6064857034122,206352500
2009-04-27,515.1935424804688,518.8999708436376,474.4228304856115,478.12925884878035,217497500
2009-05-04,496.661376953125,533.7256588152985,492.95494876690765,526.3128024428638,396790000
2009-05-11,481.835693359375,507.7806922325721,463.30355130709137,500.36783541165863,409667500
2009-05-18,515.1935424804688,526.3128275699753,470.7164021224427,496.6614006646246,253745000
2009-05-25,500.3679504394531,522.6065260145399,489.2486626519097,515.193667489511,227865000
2009-06-01,552.2578735351562,559.6707308980442,500.36787199494023,507.78072935782825,688540000
2009-06-08,570.7901000976562,596.7351046475496,555.9643832120028,567.0836708762429,654370000
2009-06-15,531.2943115234375,584.0469381995235,519.9901772357048,580.278893436946,401987500
2009-06-22,535.0621948242188,576.5106747049681,523.7580639476507,550.1343693263094,599815000
2009-06-29,546.3662719726562,568.9745315025592,523.7580124427532,531.2940989527209,706197500
2009-07-06,531.2943115234375,557.6706248614805,531.2943115234375,535.0623562860151,326567500
2009-07-13,557.6705932617188,580.2788605561127,516.2221032219965,531.2942814182591,550250000
2009-07-20,557.6705932617188,568.9747269089157,538.8303705163904,557.6705932617188,469220000
2009-07-27,568.9745483398438,572.7425917063329,546.3662881409095,557.6704182403766,631205000
2009-08-03,621.7273559570312,629.2634451201468,568.9747318152225,580.2788655598958,511870000
2009-08-10,655.6397094726562,666.9438423945986,621.7273107068291,636.7994879360856,285380000
2009-08-17,651.8716430664062,655.6396872459809,621.7272896298094,655.6396872459809,211167500
2009-08-24,655.6397094726562,666.9438423945986,640.5675322433998,648.103620858028,178017500
2009-08-31,644.3355102539062,666.9437737715872,633.0313784950658,640.5674663342928,204505000
2009-09-07,666.9437255859375,682.0159001754503,648.1035073490466,663.1756819385594,164025000
2009-09-14,697.0881958007812,700.8562401024071,644.3355755780194,648.1036198796453,229460000
2009-09-21,689.5521240234375,731.0006123527152,685.7840796298668,697.088212810579,154112500
2009-09-28,761.1448974609375,828.9696903039913,670.7118403368656,670.7118403368656,271790000
2009-10-05,715.9284057617188,806.3614675421463,704.6242730391652,753.6088481702302,689282500
2009-10-12,708.3924560546875,734.7687709077875,700.8563660966589,712.1605010337017,510685000
2009-10-19,719.696533203125,727.2326225560373,704.6243544973005,723.4645778795812,322367500
2009-10-26,689.5521240234375,719.6964791720031,633.0314581198771,719.6964791720031,478140000
2009-11-02,712.1603393554688,712.1603393554688,674.4798981197297,693.3201187375992,184305000
2009-11-09,715.9284057617188,723.464494243421,708.3923172800164,712.1603615208676,156335000
2009-11-16,714.3451538085938,729.543986868351,710.5454455436544,718.1448620735331,145222500
2009-11-23,710.5452270507812,718.1446412438378,702.9458128577247,706.745519954253,127292500
2009-11-30,756.1420288085938,759.9417374960741,691.5469811214274,729.5440679962311,355000000
2009-12-07,733.3436279296875,756.1418754300922,706.7456725125485,756.1418754300922,200930000
2009-12-14,737.143310546875,744.7427261195232,725.7441871879028,737.143310546875,107045000
2009-12-21,718.144775390625,725.7441910032242,702.9459441654266,702.9459441654266,82087500
2009-12-28,737.143310546875,737.143310546875,714.3450638289304,721.9444794015786,67092500
2010-01-04,737.143310546875,775.140388410116,733.3436027605509,767.5409728374678,216097500
2010-01-11,752.3423461914062,782.7400167445943,744.7429285531092,744.7429285531092,194990000
2010-01-18,733.3436279296875,782.7398308472311,721.9445041794851,759.9415833468264,218315000
2010-01-25,759.9417114257812,759.9417114257812,718.1449172973633,729.54404296875,238525000
2010-02-01,691.5469360351562,748.5425626314603,691.5469360351562,737.1434373121995,301710000
2010-02-08,702.946044921875,706.7457532728041,672.5483781144426,687.7472115181588,356815000
2010-02-15,737.143310546875,740.9430183331991,691.5468171109858,691.5468171109858,239667500
2010-02-22,740.9432373046875,775.1406174879808,737.1435283954327,759.9417818509615,246117500
